"Original_name","Name","SPI","Off","Def"
"Arsenal","Arsenal","86.5","2.4","0.4"
"Man. City","Manchester City","90.7","2.8","0.4"
"Man. United","Manchester Utd","81.9","2.3","0.6"
"Newcastle","Newcastle Utd","81.5","2.1","0.5"
"Liverpool","Liverpool","84.4","2.7","0.7"
"Brighton","Brighton","79.4","2.3","0.7"
"Tottenham","Tottenham","78.3","2.3","0.8"
"Chelsea","Chelsea","80.3","2.1","0.5"
"Brentford","Brentford","71.0","2.1","0.9"
"Fulham","Fulham","66.8","1.9","1.0"
"Aston Villa","Aston Villa","72.4","1.9","0.7"
"Crystal Palace","Crystal Palace","66.2","1.7","0.8"
"Leeds United","Leeds United","65.9","1.9","1.0"
"Leicester","Leicester City","67.9","1.9","0.9"
"West Ham","West Ham","71.9","1.8","0.7"
"Nottm Forest","Nott'ham Forest","58.6","1.5","1.0"
"Wolves","Wolves","63.3","1.6","0.8"
"Southampton","Southampton","62.5","1.7","1.0"
"Everton","Everton","59.0","1.6","1.0"
"Bournemouth","Bournemouth","55.2","1.5","1.1"
