"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Arsenal",1,1,0,6,5,1,0,15,14,7,7,61.8,10.7,0.1
"Manchester City",2,2,0,6,4,0,2,14,20,6,14,95.2,61.9,0
"Tottenham",3,3,0,6,4,0,2,14,12,5,7,55.4,8.4,0.2
"Brighton",4,4,0,6,4,1,1,13,11,5,6,32,2.8,0.5
"Manchester Utd",5,5,0,6,4,2,0,12,8,8,0,26,1.9,0.8
"Fulham",6,10,4,7,3,2,2,11,12,11,1,2.4,0,12.5
"Chelsea",7,6,-1,6,3,2,1,10,8,9,-1,33.4,2.9,0.7
"Liverpool",8,7,-1,6,2,1,3,9,15,6,9,67.9,10.7,0
"Brentford",9,8,-1,6,2,1,3,9,15,9,6,6.9,0.3,4.4
"Leeds United",10,9,-1,6,2,2,2,8,10,10,0,2.7,0.1,12.6
"Newcastle Utd",11,11,0,6,1,1,4,7,7,6,1,6.2,0.2,5
"Southampton",12,12,0,7,2,4,1,7,7,11,-4,0.9,0,20.9
"Aston Villa",13,17,4,7,2,4,1,7,6,10,-4,2.7,0.1,11.7
"Bournemouth",14,13,-1,6,2,3,1,7,5,18,-13,0.3,0,41.4
"Wolves",15,14,-1,6,1,2,3,6,3,4,-1,1,0,20.8
"Crystal Palace",16,15,-1,6,1,2,3,6,7,9,-2,1.9,0,9.8
"Everton",17,16,-1,6,0,2,4,4,4,6,-2,0.8,0,30.8
"West Ham",18,18,0,6,1,4,1,4,3,8,-5,2.3,0,15
"Nott'ham Forest",19,19,0,7,1,5,1,4,6,17,-11,0,0,71.3
"Leicester City",20,20,0,6,0,5,1,1,8,16,-8,0.2,0,41.5
